time,component_id,component_type,action,values,PDV,addition
4.495531909730036,42d72e61-314c-4bf7-b781-b3124da9ebb7,generator,IN,"{'input_count': 1, 'run_count': 1, 'out_time': 4.495531909730036}","{'containerId': 'c761d0027c7c44329d24e3740bac2962', 'types': {'e9c9bb7a-8d3c-4c62-ac96-d6a62560f260': {'typeName': 'soda', 'genComponentId': '42d72e61-314c-4bf7-b781-b3124da9ebb7', 'attributes': {'amount': {'type': 'number', 'value': 200}, 'unit': {'type': 'string', 'value': 'ml'}, 'ph': {'type': 'number', 'value': 4.5}, 'Brix': {'type': 'number', 'value': 13.5}}}}}",
4.495531909730036,42d72e61-314c-4bf7-b781-b3124da9ebb7,generator,GENERATE,"{'input_count': 1, 'run_count': 1, 'out_time': 4.495531909730036}","{'containerId': 'c761d0027c7c44329d24e3740bac2962', 'types': {'e9c9bb7a-8d3c-4c62-ac96-d6a62560f260': {'typeName': 'soda', 'genComponentId': '42d72e61-314c-4bf7-b781-b3124da9ebb7', 'attributes': {'amount': {'type': 'number', 'value': 200}, 'unit': {'type': 'string', 'value': 'ml'}, 'ph': {'type': 'number', 'value': 4.5}, 'Brix': {'type': 'number', 'value': 13.5}}}}}",
4.495531909730036,42d72e61-314c-4bf7-b781-b3124da9ebb7,generator,OUT,"{'input_count': 1, 'run_count': 1, 'out_time': 4.495531909730036}","{'containerId': 'c761d0027c7c44329d24e3740bac2962', 'types': {'e9c9bb7a-8d3c-4c62-ac96-d6a62560f260': {'typeName': 'soda', 'genComponentId': '42d72e61-314c-4bf7-b781-b3124da9ebb7', 'attributes': {'amount': {'type': 'number', 'value': 200}, 'unit': {'type': 'string', 'value': 'ml'}, 'ph': {'type': 'number', 'value': 4.5}, 'Brix': {'type': 'number', 'value': 13.5}}}}}",
8.68202750578553,42d72e61-314c-4bf7-b781-b3124da9ebb7,generator,IN,"{'input_count': 2, 'run_count': 2, 'out_time': 8.68202750578553}","{'containerId': '4acb0d479aa24e398103be907c8ac102', 'types': {'e9c9bb7a-8d3c-4c62-ac96-d6a62560f260': {'typeName': 'soda', 'genComponentId': '42d72e61-314c-4bf7-b781-b3124da9ebb7', 'attributes': {'amount': {'type': 'number', 'value': 200}, 'unit': {'type': 'string', 'value': 'ml'}, 'ph': {'type': 'number', 'value': 3.9}, 'Brix': {'type': 'number', 'value': 12.2}}}}}",
8.68202750578553,42d72e61-314c-4bf7-b781-b3124da9ebb7,generator,GENERATE,"{'input_count': 2, 'run_count': 2, 'out_time': 8.68202750578553}","{'containerId': '4acb0d479aa24e398103be907c8ac102', 'types': {'e9c9bb7a-8d3c-4c62-ac96-d6a62560f260': {'typeName': 'soda', 'genComponentId': '42d72e61-314c-4bf7-b781-b3124da9ebb7', 'attributes': {'amount': {'type': 'number', 'value': 200}, 'unit': {'type': 'string', 'value': 'ml'}, 'ph': {'type': 'number', 'value': 3.9}, 'Brix': {'type': 'number', 'value': 12.2}}}}}",
8.68202750578553,42d72e61-314c-4bf7-b781-b3124da9ebb7,generator,OUT,"{'input_count': 2, 'run_count': 2, 'out_time': 8.68202750578553}","{'containerId': '4acb0d479aa24e398103be907c8ac102', 'types': {'e9c9bb7a-8d3c-4c62-ac96-d6a62560f260': {'typeName': 'soda', 'genComponentId': '42d72e61-314c-4bf7-b781-b3124da9ebb7', 'attributes': {'amount': {'type': 'number', 'value': 200}, 'unit': {'type': 'string', 'value': 'ml'}, 'ph': {'type': 'number', 'value': 3.9}, 'Brix': {'type': 'number', 'value': 12.2}}}}}",
13.592879251733683,42d72e61-314c-4bf7-b781-b3124da9ebb7,generator,IN,"{'input_count': 3, 'run_count': 3, 'out_time': 13.592879251733683}","{'containerId': 'e6b59f434184439ea1223dd40324d478', 'types': {'e9c9bb7a-8d3c-4c62-ac96-d6a62560f260': {'typeName': 'soda', 'genComponentId': '42d72e61-314c-4bf7-b781-b3124da9ebb7', 'attributes': {'amount': {'type': 'number', 'value': 200}, 'unit': {'type': 'string', 'value': 'ml'}, 'ph': {'type': 'number', 'value': 3.2}, 'Brix': {'type': 'number', 'value': 13.5}}}}}",
13.592879251733683,42d72e61-314c-4bf7-b781-b3124da9ebb7,generator,GENERATE,"{'input_count': 3, 'run_count': 3, 'out_time': 13.592879251733683}","{'containerId': 'e6b59f434184439ea1223dd40324d478', 'types': {'e9c9bb7a-8d3c-4c62-ac96-d6a62560f260': {'typeName': 'soda', 'genComponentId': '42d72e61-314c-4bf7-b781-b3124da9ebb7', 'attributes': {'amount': {'type': 'number', 'value': 200}, 'unit': {'type': 'string', 'value': 'ml'}, 'ph': {'type': 'number', 'value': 3.2}, 'Brix': {'type': 'number', 'value': 13.5}}}}}",
13.592879251733683,42d72e61-314c-4bf7-b781-b3124da9ebb7,generator,OUT,"{'input_count': 3, 'run_count': 3, 'out_time': 13.592879251733683}","{'containerId': 'e6b59f434184439ea1223dd40324d478', 'types': {'e9c9bb7a-8d3c-4c62-ac96-d6a62560f260': {'typeName': 'soda', 'genComponentId': '42d72e61-314c-4bf7-b781-b3124da9ebb7', 'attributes': {'amount': {'type': 'number', 'value': 200}, 'unit': {'type': 'string', 'value': 'ml'}, 'ph': {'type': 'number', 'value': 3.2}, 'Brix': {'type': 'number', 'value': 13.5}}}}}",
17.1917832486782,42d72e61-314c-4bf7-b781-b3124da9ebb7,generator,IN,"{'input_count': 4, 'run_count': 4, 'out_time': 17.1917832486782}","{'containerId': '9e614aa8c1d844019498146052388116', 'types': {'e9c9bb7a-8d3c-4c62-ac96-d6a62560f260': {'typeName': 'soda', 'genComponentId': '42d72e61-314c-4bf7-b781-b3124da9ebb7', 'attributes': {'amount': {'type': 'number', 'value': 200}, 'unit': {'type': 'string', 'value': 'ml'}, 'ph': {'type': 'number', 'value': 3.1}, 'Brix': {'type': 'number', 'value': 12.3}}}}}",
